SMP NEGERI;SKOR RAPOT;ZONA;KELURAHAN;PERPUSTAKAAN;LAPANGAN;LABORATORIUM ;UKS
SMPN 1;195.200;1;Paledang;1;1;1;1
SMPN 1;195.200;1;Gudang;1;1;1;1
SMPN 1;195.200;1;Empang;1;1;1;1
SMPN 1;195.200;1;Panaragan;1;1;1;1
SMPN 1;195.200;1;Baranangsiang;1;1;1;1
SMPN 1;195.200;2;Babakanpasar;1;1;1;1
SMPN 1;195.200;2;Pasirjaya;1;1;1;1
SMPN 1;195.200;2;Pasirkuda;1;1;1;1
SMPN 1;195.200;2;Pasirmulya;1;1;1;1
SMPN 1;195.200;2;Cikaret;1;1;1;1
SMPN 1;195.200;2;Sempur;1;1;1;1
SMPN 1;195.200;2;Pabaton;1;1;1;1
SMPN 2;190.800;1;Pabaton;1;2;0;1
SMPN 2;190.800;1;Cibogor;1;2;0;1
SMPN 2;190.800;1;Ciwaringin;1;2;0;1
SMPN 2;190.800;1;Kebonkelapa;1;2;0;1
SMPN 2;190.800;2;Paledang;1;2;0;1
SMPN 2;190.800;2;Sempur;1;2;0;1
SMPN 2;190.800;2;Panaragan;1;2;0;1
SMPN 2;190.800;2;Babakanpasar;1;2;0;1
SMPN 2;190.800;2;Kedungwaringin;1;2;0;1
SMPN 2;190.800;2;Menteng;1;2;0;1
SMPN 3;191.133;1;Tegallega;1;1;0;1
SMPN 3;191.133;1;Babakan;1;1;0;1
SMPN 3;191.133;1;Babakanpasar;1;1;0;1
SMPN 3;191.133;1;Baranangsiang;1;1;0;1
SMPN 3;191.133;1;Tegalgundil;1;1;0;1
SMPN 3;191.133;2;Sempur;1;1;0;1
SMPN 3;191.133;2;Tanahbaru;1;1;0;1
SMPN 3;191.133;2;Sukasari;1;1;0;1
SMPN 3;191.133;2;Bantarjati;1;1;0;1
SMPN 3;191.133;2;Katulampa;1;1;0;1
SMPN 3;191.133;2;Gudang;1;1;0;1
SMPN 4;193.600;1;Ciwaringin;1;1;2;1
SMPN 4;193.600;1;Cibogor;1;1;2;1
SMPN 4;193.600;1;Kebonkelapa;1;1;2;1
SMPN 4;193.600;1;Panaragan;1;1;2;1
SMPN 4;193.600;1;Menteng;1;1;2;1
SMPN 4;193.600;2;Paledang;1;1;2;1
SMPN 4;193.600;2;Pasirjaya;1;1;2;1
SMPN 4;193.600;2;Pasirmulya;1;1;2;1
SMPN 4;193.600;2;Pasirkuda;1;1;2;1
SMPN 4;193.600;2;Loji;1;1;2;1
SMPN 4;193.600;2;Cilendek Timur;1;1;2;1
SMPN 4;193.600;2;Sindangbarang;1;1;2;1
SMPN 4;193.600;2;Cilendek Barat;1;1;2;1
SMPN 4;193.600;2;Semplak;1;1;2;1
SMPN 4;193.600;2;Kedungwaringin;1;1;2;1
SMPN 4;193.600;2;Gunungbatu;1;1;2;1
SMPN 5;195.000;1;Tanahsareal;1;1;2;1
SMPN 5;195.000;1;Kebonpedes;1;1;2;1
SMPN 5;195.000;1;Kedungbadak;1;1;2;1
SMPN 5;195.000;1;Kedungjaya;1;1;2;1
SMPN 5;195.000;1;Kedungwaringin;1;1;2;1
SMPN 5;195.000;2;Sukasari;1;1;2;1
